Frequency [MHz]	RF generator power [dBm]
907.8	-2.72870800467
907.9	-2.75540710722
908.0	-2.76063347708
908.1	-2.76323356704
908.2	-2.75771305441
908.3	-2.78403049696
908.4	-2.78871251685
908.5	-2.80743245292
908.6	-2.80258532295
908.7	-2.8230520231
908.8	-2.8236246599
908.9	-2.81094390932
909.0	-2.8443596963
909.1	-2.8266388607
909.2	-2.85537093844
909.3	-2.84366984019
909.4	-2.86285929933
909.5	-2.87540256602
909.6	-2.87229442099
909.7	-2.86873449179
909.8	-2.86482969037
909.9	-2.88573095859
910.0	-2.91086663887
910.1	-2.89777017959
910.2	-2.89354947114
910.3	-2.90058784197
910.4	-2.9126404071
910.5	-2.90801568394
910.6	-2.90678323673
910.7	-2.9176401943
910.8	-2.91183580706
910.9	-2.90753075381
911.0	-2.93353186738
911.1	-2.92657180111
911.2	-2.94287146072
911.3	-2.91812713326
911.4	-2.90932180315
911.5	-2.95358969199
911.6	-2.92699995686
911.7	-2.94352103811
911.8	-2.92680309387
911.9	-2.94400907207
912.0	-2.94513092613
912.1	-2.93865364852
912.2	-2.97687616537
