Frequency [MHz]	RF generator power [dBm]
907.8	-6.52131975324
907.9	-6.52750821848
908.0	-6.53497518548
908.1	-6.54278787943
908.2	-6.54515271232
908.3	-6.54293292942
908.4	-6.57415451943
908.5	-6.57151233952
908.6	-6.54810214771
908.7	-6.57875913544
908.8	-6.57510700942
908.9	-6.59299033425
909.0	-6.59943187324
909.1	-6.57755641561
909.2	-6.60239536276
909.3	-6.61166014155
909.4	-6.60189851523
909.5	-6.60394785783
909.6	-6.62026441986
909.7	-6.62626201374
909.8	-6.63552976956
909.9	-6.61515569989
910.0	-6.64618851752
910.1	-6.63450603341
910.2	-6.63110490682
910.3	-6.64638004807
910.4	-6.62883852816
910.5	-6.65593469166
910.6	-6.64866062531
910.7	-6.64951641936
910.8	-6.66299354206
910.9	-6.65395684372
911.0	-6.64691151182
911.1	-6.66073611809
911.2	-6.67279522543
911.3	-6.66788593841
911.4	-6.67143198803
911.5	-6.67573877188
911.6	-6.67926068578
911.7	-6.69273127564
911.8	-6.69004920144
911.9	-6.68033447336
912.0	-6.68654542103
912.1	-6.69557089225
912.2	-6.71213944326
