Frequency [MHz]	RF generator power [dBm]
907.8	-14.809826077
907.9	-14.7620478701
908.0	-14.7953162929
908.1	-14.8201799073
908.2	-14.877432253
908.3	-14.8234119215
908.4	-14.8852958188
908.5	-14.8131526777
908.6	-14.831925397
908.7	-14.8276775828
908.8	-14.8652222891
908.9	-14.8529967598
909.0	-14.8750947551
909.1	-14.787551601
909.2	-14.9102525717
909.3	-14.9038576064
909.4	-14.8497071142
909.5	-14.9284681009
909.6	-14.9230405326
909.7	-14.8750032329
909.8	-14.9127039993
909.9	-14.8586820676
910.0	-14.9605413418
910.1	-14.907981545
910.2	-14.9093332778
910.3	-14.9178032432
910.4	-14.9370669945
910.5	-14.9387601716
910.6	-14.9376966651
910.7	-14.9380498717
910.8	-14.9771373174
910.9	-14.9687747531
911.0	-14.9437094996
911.1	-14.9739943035
911.2	-15.0350226004
911.3	-14.9591945925
911.4	-15.0231082201
911.5	-14.961997233
911.6	-14.9844446275
911.7	-15.0144469524
911.8	-14.989764841
911.9	-14.9893199941
912.0	-14.9888346725
912.1	-15.003427454
912.2	-14.9770695639
