Frequency [MHz]	RF generator power [dBm]
907.8	-9.59244338134
907.9	-9.58943674473
908.0	-9.58452101218
908.1	-9.5958653731
908.2	-9.59560346819
908.3	-9.61094361448
908.4	-9.63983418072
908.5	-9.59857540156
908.6	-9.61942055468
908.7	-9.65218484365
908.8	-9.61896128009
908.9	-9.61847029482
909.0	-9.64027796064
909.1	-9.62050769262
909.2	-9.64314145263
909.3	-9.65640988259
909.4	-9.6701371825
909.5	-9.67922275491
909.6	-9.69286276314
909.7	-9.66467289663
909.8	-9.67417744434
909.9	-9.67586768449
910.0	-9.69871662056
910.1	-9.69329533628
910.2	-9.70243434479
910.3	-9.70883572748
910.4	-9.70415461699
910.5	-9.73540895448
910.6	-9.74830930701
910.7	-9.73642983275
910.8	-9.72874792035
910.9	-9.75460750778
911.0	-9.75174603915
911.1	-9.77721767387
911.2	-9.75871220566
911.3	-9.75272097483
911.4	-9.74530512407
911.5	-9.77010747215
911.6	-9.769620021
911.7	-9.7848871748
911.8	-9.76747957209
911.9	-9.76941970428
912.0	-9.75630507878
912.1	-9.76337851861
912.2	-9.77958041009
