Frequency [MHz]	RF generator power [dBm]
907.8	-15.2709473249
907.9	-15.2041937479
908.0	-15.2444128963
908.1	-15.2454972547
908.2	-15.2413014327
908.3	-15.2401708844
908.4	-15.2553071165
908.5	-15.2420231259
908.6	-15.2486984128
908.7	-15.2614906359
908.8	-15.2842175003
908.9	-15.2516214585
909.0	-15.2634554221
909.1	-15.2617766491
909.2	-15.2823975205
909.3	-15.2789719478
909.4	-15.2762964996
909.5	-15.2695589532
909.6	-15.2704139554
909.7	-15.2894386
909.8	-15.2953694323
909.9	-15.2660192561
910.0	-15.3184370054
910.1	-15.2371691743
910.2	-15.2583702826
910.3	-15.2980918355
910.4	-15.2889309905
910.5	-15.3046338702
910.6	-15.2984878231
910.7	-15.3084307362
910.8	-15.2852728939
910.9	-15.3269783107
911.0	-15.3164620108
911.1	-15.2912826048
911.2	-15.292220593
911.3	-15.2770630965
911.4	-15.2902272562
911.5	-15.3027397363
911.6	-15.2986864626
911.7	-15.2983977055
911.8	-15.3143646477
911.9	-15.3036440579
912.0	-15.2642259339
912.1	-15.2712484322
912.2	-15.3146196322
