Frequency [MHz]	RF generator power [dBm]
907.8	-10.436822316
907.9	-10.4484278433
908.0	-10.426391539
908.1	-10.4344851086
908.2	-10.437765252
908.3	-10.4345034981
908.4	-10.4413931274
908.5	-10.4595850104
908.6	-10.4782095517
908.7	-10.4596530364
908.8	-10.4856615133
908.9	-10.4748713909
909.0	-10.4795667589
909.1	-10.4620364922
909.2	-10.4464315557
909.3	-10.4873917422
909.4	-10.4966642076
909.5	-10.5071101832
909.6	-10.4783438274
909.7	-10.4887845775
909.8	-10.4916274736
909.9	-10.4941573977
910.0	-10.4911999298
910.1	-10.4674877724
910.2	-10.4837846461
910.3	-10.495142693
910.4	-10.4919602884
910.5	-10.4972383739
910.6	-10.4982808505
910.7	-10.5025743308
910.8	-10.4981117811
910.9	-10.4831115758
911.0	-10.4938866366
911.1	-10.5024927967
911.2	-10.4594880082
911.3	-10.5058029095
911.4	-10.4787250799
911.5	-10.4855269531
911.6	-10.5018580807
911.7	-10.4838319612
911.8	-10.5062847477
911.9	-10.5375336356
912.0	-10.4942507889
912.1	-10.501025964
912.2	-10.5266593352
