Frequency [MHz]	RF generator power [dBm]
907.8	-10.8300700619
907.9	-10.8179468735
908.0	-10.8152016055
908.1	-10.8275364906
908.2	-10.8318270665
908.3	-10.8498178548
908.4	-10.8756381726
908.5	-10.8230556668
908.6	-10.860693191
908.7	-10.8874540977
908.8	-10.8552650036
908.9	-10.8388744615
909.0	-10.8727237056
909.1	-10.8519271849
909.2	-10.8817127197
909.3	-10.8892983855
909.4	-10.9024312538
909.5	-10.9248409874
909.6	-10.9337219077
909.7	-10.8902252539
909.8	-10.9011632002
909.9	-10.9107537824
910.0	-10.9387483044
910.1	-10.9290674769
910.2	-10.9418581575
910.3	-10.9438578957
910.4	-10.9474142599
910.5	-10.9731004475
910.6	-10.9870918138
910.7	-10.9793694301
910.8	-10.968176884
910.9	-11.0001539279
911.0	-11.0011013804
911.1	-11.0231295012
911.2	-11.0085325226
911.3	-10.9934320465
911.4	-10.9879607061
911.5	-11.012011792
911.6	-11.0104884754
911.7	-11.0294303461
911.8	-11.0074884408
911.9	-11.0155072943
912.0	-10.994602275
912.1	-11.0024248216
912.2	-11.0126126613
