Frequency [MHz]	RF generator power [dBm]
907.8	-11.6254946675
907.9	-11.6326583601
908.0	-11.6122896739
908.1	-11.6318526775
908.2	-11.6306593324
908.3	-11.6035572807
908.4	-11.6425318915
908.5	-11.6529203206
908.6	-11.6695928089
908.7	-11.6599637604
908.8	-11.6750897233
908.9	-11.6768817454
909.0	-11.6808681412
909.1	-11.6469499776
909.2	-11.6482563804
909.3	-11.6832350481
909.4	-11.6954427685
909.5	-11.7030708694
909.6	-11.6576069666
909.7	-11.6928744307
909.8	-11.6848531857
909.9	-11.6990780559
910.0	-11.708092991
910.1	-11.6597921873
910.2	-11.6850928886
910.3	-11.6884564003
910.4	-11.6946929966
910.5	-11.6924631096
910.6	-11.6886021462
910.7	-11.7042391136
910.8	-11.6793225416
910.9	-11.6902713448
911.0	-11.7072371053
911.1	-11.703593214
911.2	-11.6452649223
911.3	-11.7137616793
911.4	-11.6717737153
911.5	-11.6717741747
911.6	-11.6898932786
911.7	-11.6681248277
911.8	-11.7114735558
911.9	-11.7353987581
912.0	-11.6785479524
912.1	-11.6796076689
912.2	-11.7296019669
