Frequency [MHz]	RF generator power [dBm]
907.8	-4.68499258695
907.9	-4.69258511202
908.0	-4.70328041301
908.1	-4.70920740485
908.2	-4.70905447751
908.3	-4.71779825973
908.4	-4.73362023779
908.5	-4.74639512475
908.6	-4.72758773347
908.7	-4.75455345784
908.8	-4.75672397318
908.9	-4.75280609738
909.0	-4.77897162336
909.1	-4.76410125866
909.2	-4.78863841926
909.3	-4.78168284307
909.4	-4.77895864461
909.5	-4.79135374789
909.6	-4.7948782211
909.7	-4.79758804953
909.8	-4.79836801769
909.9	-4.80005991161
910.0	-4.83258961858
910.1	-4.8164343352
910.2	-4.81092069052
910.3	-4.82180698392
910.4	-4.81412035896
910.5	-4.82702560025
910.6	-4.8104058643
910.7	-4.82915487046
910.8	-4.8342791428
910.9	-4.82473529659
911.0	-4.83131983315
911.1	-4.83047146659
911.2	-4.84954227156
911.3	-4.8367351854
911.4	-4.83655872657
911.5	-4.85556185711
911.6	-4.84400719426
911.7	-4.85891475049
911.8	-4.85386601085
911.9	-4.85402684598
912.0	-4.8576844972
912.1	-4.86432158361
912.2	-4.88520639851
