Frequency [MHz]	RF generator power [dBm]
907.8	-6.64777305417
907.9	-6.59880026914
908.0	-6.6211898862
908.1	-6.61583746527
908.2	-6.64063002773
908.3	-6.64137596382
908.4	-6.62887880121
908.5	-6.63610436584
908.6	-6.61014055362
908.7	-6.62814842663
908.8	-6.66283359065
908.9	-6.62996896247
909.0	-6.6291134934
909.1	-6.65726711154
909.2	-6.65422521946
909.3	-6.64062939322
909.4	-6.64871163559
909.5	-6.6553456961
909.6	-6.68740977579
909.7	-6.64024027019
909.8	-6.65152277734
909.9	-6.61116955851
910.0	-6.65593609221
910.1	-6.62727315356
910.2	-6.60441465261
910.3	-6.65950143513
910.4	-6.63936244252
910.5	-6.63957249477
910.6	-6.62568592983
910.7	-6.63087324208
910.8	-6.66453787026
910.9	-6.62921724698
911.0	-6.63878503995
911.1	-6.60813462307
911.2	-6.59693536595
911.3	-6.60769285871
911.4	-6.61094125929
911.5	-6.62584288495
911.6	-6.62458204329
911.7	-6.61761634112
911.8	-6.61697922848
911.9	-6.61326666367
912.0	-6.60918686701
912.1	-6.60540596755
912.2	-6.62985531167
