Frequency [MHz]	RF generator power [dBm]
907.8	-5.23990910572
907.9	-5.19497233541
908.0	-5.20830091827
908.1	-5.21879454693
908.2	-5.24980271337
908.3	-5.21226867663
908.4	-5.23800925869
908.5	-5.25539311297
908.6	-5.21144076265
908.7	-5.2425353122
908.8	-5.26503781303
908.9	-5.24863089449
909.0	-5.23073735643
909.1	-5.2523169917
909.2	-5.27159826843
909.3	-5.24969104017
909.4	-5.24823011293
909.5	-5.26130495869
909.6	-5.29317300571
909.7	-5.25217083559
909.8	-5.25649793457
909.9	-5.22822109086
910.0	-5.28512429943
910.1	-5.2304753208
910.2	-5.21374229993
910.3	-5.25233968681
910.4	-5.23733479153
910.5	-5.23391352955
910.6	-5.2071414822
910.7	-5.22563174676
910.8	-5.24103532527
910.9	-5.22096032311
911.0	-5.25592914467
911.1	-5.20203926476
911.2	-5.17505676073
911.3	-5.20888025765
911.4	-5.18573243686
911.5	-5.18778502972
911.6	-5.2005446169
911.7	-5.18353951933
911.8	-5.20638997561
911.9	-5.19211805065
912.0	-5.17753577331
912.1	-5.16408757988
912.2	-5.22082920481
