Frequency [MHz]	RF generator power [dBm]
907.8	-12.2832704143
907.9	-12.2827695523
908.0	-12.2678733993
908.1	-12.2908551222
908.2	-12.2879270401
908.3	-12.252402267
908.4	-12.3031754073
908.5	-12.3083482415
908.6	-12.3228185656
908.7	-12.3190560954
908.8	-12.3302629265
908.9	-12.3346532846
909.0	-12.3391291682
909.1	-12.3010167141
909.2	-12.3108957726
909.3	-12.3398065597
909.4	-12.3524997577
909.5	-12.3580813922
909.6	-12.3091793566
909.7	-12.3530958956
909.8	-12.3413025347
909.9	-12.3570772936
910.0	-12.3747025077
910.1	-12.3138414707
910.2	-12.3422628668
910.3	-12.3452694261
910.4	-12.3543615426
910.5	-12.3497228541
910.6	-12.3435165611
910.7	-12.3635301141
910.8	-12.3309018907
910.9	-12.3543832926
911.0	-12.3721500952
911.1	-12.3612157701
911.2	-12.3006063903
911.3	-12.3728242065
911.4	-12.3286813688
911.5	-12.3267523865
911.6	-12.3437349502
911.7	-12.3219802125
911.8	-12.3719992546
911.9	-12.3900813595
912.0	-12.3290558944
912.1	-12.3281888836
912.2	-12.3878459902
