Frequency [MHz]	RF generator power [dBm]
907.8	-16.0858457168
907.9	-15.998940688
908.0	-16.0567570266
908.1	-16.0415221112
908.2	-16.0383184812
908.3	-16.069878427
908.4	-16.0472036821
908.5	-16.0335777998
908.6	-16.0418223139
908.7	-16.0522383843
908.8	-16.0864414041
908.9	-16.032811269
909.0	-16.0455226784
909.1	-16.0679238057
909.2	-16.0796638594
909.3	-16.0724045585
909.4	-16.0605961132
909.5	-16.0489672595
909.6	-16.0810619062
909.7	-16.0749071106
909.8	-16.0970965218
909.9	-16.0424159492
910.0	-16.0981511721
910.1	-16.0266349606
910.2	-16.037759843
910.3	-16.0968523074
910.4	-16.0734243779
910.5	-16.105424739
910.6	-16.102811665
910.7	-16.1012786523
910.8	-16.0928106019
910.9	-16.1252754542
911.0	-16.0981688108
911.1	-16.0796734383
911.2	-16.1155412261
911.3	-16.048965146
911.4	-16.0934573965
911.5	-16.1166217111
911.6	-16.1046865839
911.7	-16.1151463289
911.8	-16.1038748664
911.9	-16.0883717147
912.0	-16.06766022
912.1	-16.0794806916
912.2	-16.1003863771
