Frequency [MHz]	RF generator power [dBm]
907.8	-15.8388391742
907.9	-15.781075844
908.0	-15.8228699871
908.1	-15.8581968276
908.2	-15.935441213
908.3	-15.843236001
908.4	-15.9297074981
908.5	-15.8489666889
908.6	-15.8471652754
908.7	-15.8433373784
908.8	-15.898629965
908.9	-15.9063040213
909.0	-15.9120881811
909.1	-15.7857772804
909.2	-15.9508195729
909.3	-15.9442832861
909.4	-15.872282631
909.5	-15.9651534585
909.6	-15.9501620178
909.7	-15.9106287275
909.8	-15.9560732026
909.9	-15.8687060626
910.0	-16.0029805297
910.1	-15.9352047607
910.2	-15.9270167331
910.3	-15.9422544582
910.4	-15.9642193697
910.5	-15.9641301597
910.6	-15.9586675398
910.7	-15.9544448464
910.8	-16.0123528316
910.9	-15.99391835
911.0	-15.9473427737
911.1	-16.0004007808
911.2	-16.0720743571
911.3	-15.9768036527
911.4	-16.0727451506
911.5	-15.9835420237
911.6	-16.0108198002
911.7	-16.0383395226
911.8	-16.0097735658
911.9	-16.0001404738
912.0	-16.0187732195
912.1	-16.034611655
912.2	-16.001919823
