Frequency [MHz]	RF generator power [dBm]
907.8	-5.76483023891
907.9	-5.71472458554
908.0	-5.73388797063
908.1	-5.73962518428
908.2	-5.76851925719
908.3	-5.7419616877
908.4	-5.75750836935
908.5	-5.76834805525
908.6	-5.72889136722
908.7	-5.75837137569
908.8	-5.78408573799
908.9	-5.76295596484
909.0	-5.75162805206
909.1	-5.77467388132
909.2	-5.7883037425
909.3	-5.76578148828
909.4	-5.76980213183
909.5	-5.77923561415
909.6	-5.81052745056
909.7	-5.76874177773
909.8	-5.77386719036
909.9	-5.74096915758
910.0	-5.79772794979
910.1	-5.74962672834
910.2	-5.72895687915
910.3	-5.77547331419
910.4	-5.75955466653
910.5	-5.75504666158
910.6	-5.73170247697
910.7	-5.74732064029
910.8	-5.76885901502
910.9	-5.74558017805
911.0	-5.77134457328
911.1	-5.7227065917
911.2	-5.69956603709
911.3	-5.72839877051
911.4	-5.71394502943
911.5	-5.72039148343
911.6	-5.72667697709
911.7	-5.71341628361
911.8	-5.72991678244
911.9	-5.71702363701
912.0	-5.70667678993
912.1	-5.69481841587
912.2	-5.74318358961
