Frequency [MHz]	RF generator power [dBm]
907.8	-8.54433715672
907.9	-8.53385036679
908.0	-8.5316379451
908.1	-8.51868052811
908.2	-8.53218989855
908.3	-8.56449294751
908.4	-8.5222562975
908.5	-8.54167059466
908.6	-8.55038842076
908.7	-8.53365678177
908.8	-8.5769925822
908.9	-8.5389496123
909.0	-8.54671603009
909.1	-8.56553727844
909.2	-8.53421024932
909.3	-8.56198640245
909.4	-8.56718995519
909.5	-8.57775291127
909.6	-8.59036475408
909.7	-8.55363143989
909.8	-8.57319981776
909.9	-8.54370229389
910.0	-8.54475341022
910.1	-8.54631455277
910.2	-8.540791173
910.3	-8.57987910208
910.4	-8.55899570154
910.5	-8.57324536157
910.6	-8.57705146459
910.7	-8.5662762159
910.8	-8.59877503663
910.9	-8.55035738547
911.0	-8.54757669352
911.1	-8.55840932194
911.2	-8.55089094344
911.3	-8.54944147607
911.4	-8.55811774034
911.5	-8.57795883839
911.6	-8.58245907681
911.7	-8.57575669038
911.8	-8.56167347515
911.9	-8.588178101
912.0	-8.57422836484
912.1	-8.58721447105
912.2	-8.57986553559
