Frequency [MHz]	RF generator power [dBm]
907.8	-6.06015027384
907.9	-6.06624252917
908.0	-6.07547160445
908.1	-6.08277051499
908.2	-6.08516154858
908.3	-6.08372050634
908.4	-6.11205387838
908.5	-6.11440867887
908.6	-6.08950428638
908.7	-6.11909299316
908.8	-6.11872411107
908.9	-6.13275337935
909.0	-6.14264353839
909.1	-6.12217480893
909.2	-6.14727084199
909.3	-6.15279834593
909.4	-6.14223341378
909.5	-6.14659490346
909.6	-6.16047021579
909.7	-6.1674396616
909.8	-6.17517508793
909.9	-6.15773879039
910.0	-6.19003598324
910.1	-6.17673702902
910.2	-6.17224871229
910.3	-6.18708670871
910.4	-6.17056288095
910.5	-6.19467564463
910.6	-6.18378406858
910.7	-6.18958768946
910.8	-6.202896115
910.9	-6.19156977743
911.0	-6.18673805559
911.1	-6.19669362926
911.2	-6.21256152735
911.3	-6.20599780468
911.4	-6.20980171028
911.5	-6.21498941385
911.6	-6.21609941312
911.7	-6.22991449412
911.8	-6.22784952048
911.9	-6.21922890445
912.0	-6.22582275179
912.1	-6.23490016483
912.2	-6.25155754404
