Frequency [MHz]	RF generator power [dBm]
907.8	-18.6975195671
907.9	-18.6005218441
908.0	-18.6619110084
908.1	-18.6017643605
908.2	-18.5964157893
908.3	-18.7503855595
908.4	-18.5918758816
908.5	-18.5992572755
908.6	-18.6358400004
908.7	-18.6102970382
908.8	-18.6754902017
908.9	-18.5918744627
909.0	-18.5773383451
909.1	-18.6577399333
909.2	-18.6120837163
909.3	-18.6443262325
909.4	-18.6107085953
909.5	-18.5669574014
909.6	-18.693189751
909.7	-18.6085865483
909.8	-18.6945689043
909.9	-18.572464993
910.0	-18.6090348501
910.1	-18.6070127751
910.2	-18.5511176896
910.3	-18.66839933
910.4	-18.5966654904
910.5	-18.6938201923
910.6	-18.700159738
910.7	-18.6694006658
910.8	-18.6985737749
910.9	-18.6791663336
911.0	-18.599634171
911.1	-18.6438360024
911.2	-18.7612126003
911.3	-18.5609538913
911.4	-18.6674476752
911.5	-18.7253676124
911.6	-18.7082335503
911.7	-18.7410828428
911.8	-18.6555737368
911.9	-18.6507595329
912.0	-18.7114365133
912.1	-18.7029398859
912.2	-18.6586220033
