Frequency [MHz]	RF generator power [dBm]
907.8	-6.22921387457
907.9	-6.17793700616
908.0	-6.20006373117
908.1	-6.20022127945
908.2	-6.22705978411
908.3	-6.21392198016
908.4	-6.21590870805
908.5	-6.22360526656
908.6	-6.19035735245
908.7	-6.21513243464
908.8	-6.24518445744
908.9	-6.21818379614
909.0	-6.21259503597
909.1	-6.23818468603
909.2	-6.24396966026
909.3	-6.22451235016
909.4	-6.23150027606
909.5	-6.23889548979
909.6	-6.27058592767
909.7	-6.22629706526
909.8	-6.23404727416
909.9	-6.19689056583
910.0	-6.24917096768
910.1	-6.21023406784
910.2	-6.18757317981
910.3	-6.23962432362
910.4	-6.22176754214
910.5	-6.21879517154
910.6	-6.19993961555
910.7	-6.21077915257
910.8	-6.2387299106
910.9	-6.20991898556
911.0	-6.2270213837
911.1	-6.18653440348
911.2	-6.16916171313
911.3	-6.1895281135
911.4	-6.18431711382
911.5	-6.19520293134
911.6	-6.19681838947
911.7	-6.18701353603
911.8	-6.19514551992
911.9	-6.18600685398
912.0	-6.17931827604
912.1	-6.17096961218
912.2	-6.20791604431
