Frequency [MHz]	RF generator power [dBm]
907.8	-7.40667719866
907.9	-7.36994361188
908.0	-7.38620746102
908.1	-7.37279101821
908.2	-7.39335104896
908.3	-7.41692361276
908.4	-7.38061135724
908.5	-7.39179511937
908.6	-7.38130793595
908.7	-7.38344937878
908.8	-7.42561886073
908.9	-7.38457004338
909.0	-7.38995226065
909.1	-7.42002174465
909.2	-7.40051093827
909.3	-7.40336750744
909.4	-7.41054098864
909.5	-7.41808719988
909.6	-7.4477460325
909.7	-7.397997606
909.8	-7.41593542894
909.9	-7.37419905875
910.0	-7.39982685706
910.1	-7.38993158772
910.2	-7.37111984662
910.3	-7.42518072331
910.4	-7.40166510374
910.5	-7.40966263363
910.6	-7.40520009335
910.7	-7.39994026179
910.8	-7.4400624776
910.9	-7.39340377194
911.0	-7.39272991248
911.1	-7.38247675011
911.2	-7.38005257343
911.3	-7.37567253419
911.4	-7.38965016105
911.5	-7.40996962932
911.6	-7.40774448497
911.7	-7.40378757859
911.8	-7.38957516774
911.9	-7.39897643959
912.0	-7.39575714473
912.1	-7.40131422882
912.2	-7.40401649154
