Frequency [MHz]	RF generator power [dBm]
907.8	-5.14590246353
907.9	-5.15237506274
908.0	-5.16325594939
908.1	-5.16964216049
908.2	-5.17073358271
908.3	-5.17500862128
908.4	-5.19534225895
908.5	-5.20540100817
908.6	-5.18312820926
908.7	-5.2109131538
908.8	-5.21332602251
908.9	-5.21580313107
909.0	-5.23615212593
909.1	-5.21947159017
909.2	-5.24428339897
909.3	-5.24135634629
909.4	-5.23443609757
909.5	-5.24429663452
909.6	-5.25148879392
909.7	-5.25650618049
909.8	-5.25981181934
909.9	-5.25397758336
910.0	-5.2870717809
910.1	-5.27144148343
910.2	-5.2659347678
910.3	-5.27842918028
910.4	-5.26692067429
910.5	-5.28385984771
910.6	-5.26798818047
910.7	-5.28324225934
910.8	-5.29207900863
910.9	-5.28075734421
911.0	-5.28287137931
911.1	-5.28528946158
911.2	-5.30456482299
911.3	-5.29403322043
911.4	-5.29587025577
911.5	-5.30867666531
911.6	-5.30199449439
911.7	-5.31654917461
911.8	-5.31327295494
911.9	-5.30971837904
912.0	-5.31482052856
912.1	-5.32281488273
912.2	-5.34150843436
