Frequency [MHz]	RF generator power [dBm]
907.8	-17.7880922203
907.9	-17.6790696609
908.0	-17.7547449081
908.1	-17.7035682864
908.2	-17.701043634
908.3	-17.817908702
908.4	-17.6981489492
908.5	-17.6944651531
908.6	-17.7165001124
908.7	-17.7080014509
908.8	-17.7678012382
908.9	-17.6792265687
909.0	-17.6822130937
909.1	-17.7539256109
909.2	-17.7308872778
909.3	-17.7375315816
909.4	-17.7070655463
909.5	-17.6788157266
909.6	-17.7814125085
909.7	-17.7154280951
909.8	-17.780947044
909.9	-17.6731075697
910.0	-17.7212967621
910.1	-17.6913422105
910.2	-17.6655341887
910.3	-17.7671834565
910.4	-17.7089687257
910.5	-17.7846212951
910.6	-17.7902710023
910.7	-17.7634779914
910.8	-17.7875575853
910.9	-17.7858789953
911.0	-17.7207209231
911.1	-17.7364706103
911.2	-17.8420445527
911.3	-17.667477289
911.4	-17.7698910048
911.5	-17.8184524935
911.6	-17.7967603013
911.7	-17.8272932411
911.8	-17.7559105236
911.9	-17.7418525768
912.0	-17.7733899225
912.1	-17.7836379209
912.2	-17.7518018159
