Frequency [MHz]	RF generator power [dBm]
907.8	-8.15042816693
907.9	-8.1310924085
908.0	-8.13557704489
908.1	-8.12064234719
908.2	-8.13660483784
908.3	-8.16991359986
908.4	-8.12497773754
908.5	-8.14205116574
908.6	-8.14529578084
908.7	-8.13351264027
908.8	-8.17802631469
908.9	-8.13678206448
909.0	-8.14450503326
909.1	-8.16911899766
909.2	-8.13948768701
909.3	-8.15975954978
909.4	-8.16525918132
909.5	-8.17490937572
909.6	-8.19511580885
909.7	-8.15145718838
909.8	-8.17195486354
909.9	-8.13659351742
910.0	-8.14433252228
910.1	-8.14495125737
910.2	-8.13436367082
910.3	-8.17974194764
910.4	-8.15676431106
910.5	-8.17015315733
910.6	-8.17221686709
910.7	-8.16154107298
910.8	-8.19898047379
910.9	-8.14854252914
911.0	-8.14481110575
911.1	-8.1505576877
911.2	-8.14745881609
911.3	-8.14105134262
911.4	-8.15437988085
911.5	-8.17554168676
911.6	-8.17709646801
911.7	-8.1721922474
911.8	-8.1549408566
911.9	-8.17665286541
912.0	-8.16779569936
912.1	-8.17953827135
912.2	-8.17187401865
