Frequency [MHz]	RF generator power [dBm]
907.8	-4.21642102235
907.9	-4.22622798101
908.0	-4.2361183863
908.1	-4.24151520052
908.2	-4.23987477664
908.3	-4.25363510004
908.4	-4.26513691781
908.5	-4.27996974545
908.6	-4.26537039215
908.7	-4.29141125607
908.8	-4.29269415351
908.9	-4.28307095778
909.0	-4.31440724183
909.1	-4.30079216005
909.2	-4.32526466503
909.3	-4.31495762936
909.4	-4.31755567241
909.5	-4.33186287373
909.6	-4.33202232277
909.7	-4.33212800691
909.8	-4.33054544046
909.9	-4.3398004724
910.0	-4.37114730502
910.1	-4.35497457147
910.2	-4.34969497168
910.3	-4.35895982457
910.4	-4.35577057029
910.5	-4.36444007023
910.6	-4.34863954712
910.7	-4.36930420591
910.8	-4.37038715595
910.9	-4.36317046207
911.0	-4.37463727263
911.1	-4.37109285659
911.2	-4.38913184366
911.3	-4.37382939936
911.4	-4.37123880531
911.5	-4.39732664356
911.6	-4.38077887403
911.7	-4.396028971
911.8	-4.38856006639
911.9	-4.39295113847
912.0	-4.39509843361
912.1	-4.39969447841
912.2	-4.42364301524
