Frequency [MHz]	RF generator power [dBm]
907.8	-18.2977109798
907.9	-18.2114734015
908.0	-18.248908488
908.1	-18.3339218243
908.2	-18.4561498394
908.3	-18.2556566049
908.4	-18.4248058539
908.5	-18.2946879739
908.6	-18.2406030929
908.7	-18.2825863107
908.8	-18.3262389132
908.9	-18.405402075
909.0	-18.3670374806
909.1	-18.1092874876
909.2	-18.3992684161
909.3	-18.3961611738
909.4	-18.3334475963
909.5	-18.4562096303
909.6	-18.3850198849
909.7	-18.365567344
909.8	-18.4119697419
909.9	-18.2535217728
910.0	-18.4803292584
910.1	-18.3783220868
910.2	-18.3376270808
910.3	-18.3716463691
910.4	-18.406579414
910.5	-18.422328765
910.6	-18.4129774942
910.7	-18.3833181516
910.8	-18.4574775547
910.9	-18.4683998714
911.0	-18.3398039204
911.1	-18.5173374129
911.2	-18.5261206521
911.3	-18.3897472072
911.4	-18.5726859509
911.5	-18.4602500596
911.6	-18.4659523782
911.7	-18.4659280621
911.8	-18.403554558
911.9	-18.3676688863
912.0	-18.4517386663
912.1	-18.4663761525
912.2	-18.4433817523
