Frequency [MHz]	RF generator power [dBm]
907.8	-11.5100950991
907.9	-11.492265981
908.0	-11.4932070568
908.1	-11.5061677442
908.2	-11.5154659659
908.3	-11.5304802905
908.4	-11.5565811516
908.5	-11.4994838841
908.6	-11.5423040884
908.7	-11.5639524564
908.8	-11.5377168908
908.9	-11.5146378381
909.0	-11.5528407704
909.1	-11.5285984841
909.2	-11.5662046177
909.3	-11.5703357424
909.4	-11.5779949112
909.5	-11.6092427366
909.6	-11.6158566042
909.7	-11.5663200543
909.8	-11.5796135225
909.9	-11.588479309
910.0	-11.6227556258
910.1	-11.6086430516
910.2	-11.6222304035
910.3	-11.6228431419
910.4	-11.6303704003
910.5	-11.651890972
910.6	-11.6647930343
910.7	-11.6600122671
910.8	-11.6510689535
910.9	-11.6817071597
911.0	-11.6832649056
911.1	-11.7027401292
911.2	-11.6962829125
911.3	-11.6738443377
911.4	-11.6731454756
911.5	-11.6908977895
911.6	-11.6908971166
911.7	-11.712362438
911.8	-11.6891209951
911.9	-11.6990740452
912.0	-11.6760397335
912.1	-11.6847294754
912.2	-11.6898269074
