Frequency [MHz]	RF generator power [dBm]
907.8	-9.41672503369
907.9	-9.42107663473
908.0	-9.4065017237
908.1	-9.40219481594
908.2	-9.41058065289
908.3	-9.43007999135
908.4	-9.40631076242
908.5	-9.42753951787
908.6	-9.4436793114
908.7	-9.42235464337
908.8	-9.45900090867
908.9	-9.43276946798
909.0	-9.43925650246
909.1	-9.44148650092
909.2	-9.41387864219
909.3	-9.45213576483
909.4	-9.45844955932
909.5	-9.46984281156
909.6	-9.4628172882
909.7	-9.44685194706
909.8	-9.46016958839
909.9	-9.44607284834
910.0	-9.44026880558
910.1	-9.43457520514
910.2	-9.44003254523
910.3	-9.46479702538
910.4	-9.45140804298
910.5	-9.46330324086
910.6	-9.46746407454
910.7	-9.46165149525
910.8	-9.47818283101
910.9	-9.44191454644
911.0	-9.44473001196
911.1	-9.45888503887
911.2	-9.43576831365
911.3	-9.45455577082
911.4	-9.44727240521
911.5	-9.46164851294
911.6	-9.47265044813
911.7	-9.46057992974
911.8	-9.46121796122
911.9	-9.49325736921
912.0	-9.46569561861
912.1	-9.47741849542
912.2	-9.4813149668
