Frequency [MHz]	RF generator power [dBm]
907.8	-19.6868539648
907.9	-19.6326494521
908.0	-19.6477409919
908.1	-19.5983832978
908.2	-19.5849401368
908.3	-19.7509505669
908.4	-19.5882403316
908.5	-19.6104170856
908.6	-19.6686329634
908.7	-19.621881691
908.8	-19.6760587946
908.9	-19.636154289
909.0	-19.5873249785
909.1	-19.6447866736
909.2	-19.5788600385
909.3	-19.6569081631
909.4	-19.6326237226
909.5	-19.5635770486
909.6	-19.6857738218
909.7	-19.6111839864
909.8	-19.7077068395
909.9	-19.59649571
910.0	-19.6172010991
910.1	-19.640968407
910.2	-19.5434483606
910.3	-19.6635965082
910.4	-19.5901355272
910.5	-19.7003704059
910.6	-19.6995754618
910.7	-19.6836653005
910.8	-19.6938024154
910.9	-19.6671314977
911.0	-19.585191751
911.1	-19.6647466942
911.2	-19.749431965
911.3	-19.5817907745
911.4	-19.6477423419
911.5	-19.705769665
911.6	-19.7068433509
911.7	-19.7282367892
911.8	-19.6636382568
911.9	-19.6761960515
912.0	-19.761899776
912.1	-19.7069659282
912.2	-19.6833514289
