Frequency [MHz]	RF generator power [dBm]
907.8	-12.9806715757
907.9	-12.9685710443
908.0	-12.9626891918
908.1	-12.9863264222
908.2	-12.9821568675
908.3	-12.9430848737
908.4	-12.9997083112
908.5	-12.9992869834
908.6	-13.0111430861
908.7	-13.0134091525
908.8	-13.022732592
908.9	-13.0257389886
909.0	-13.0314010542
909.1	-12.9934241536
909.2	-13.0106945909
909.3	-13.0319100301
909.4	-13.0437856986
909.5	-13.0469405295
909.6	-12.9997451634
909.7	-13.047770107
909.8	-13.0345306938
909.9	-13.0475455432
910.0	-13.0747541453
910.1	-13.0027862969
910.2	-13.0329055676
910.3	-13.0388825367
910.4	-13.0485845808
910.5	-13.0435959812
910.6	-13.0356221468
910.7	-13.0580210918
910.8	-13.0207866622
910.9	-13.0549517219
911.0	-13.0710054394
911.1	-13.0530981197
911.2	-12.9959980044
911.3	-13.0637325129
911.4	-13.0229818855
911.5	-13.0208367763
911.6	-13.0350293211
911.7	-13.015136882
911.8	-13.0671624853
911.9	-13.0783060084
912.0	-13.0160165602
912.1	-13.0145286187
912.2	-13.0799234863
