Frequency [MHz]	RF generator power [dBm]
907.8	-7.96805323815
907.9	-7.97264377374
908.0	-7.97278492812
908.1	-7.98239146462
908.2	-7.98277439202
908.3	-7.98646968283
908.4	-8.02023585499
908.5	-7.99906358537
908.6	-7.99200342252
908.7	-8.02572855642
908.8	-8.00651702038
908.9	-8.02391413505
909.0	-8.03080152405
909.1	-8.00826717616
909.2	-8.03086457795
909.3	-8.04657042132
909.4	-8.04763617403
909.5	-8.04767008619
909.6	-8.06609379903
909.7	-8.06013773134
909.8	-8.07070472979
909.9	-8.0549543629
910.0	-8.08043671429
910.1	-8.07374477116
910.2	-8.07578662503
910.3	-8.08873117408
910.4	-8.0741247671
910.5	-8.10674786258
910.6	-8.11135900086
910.7	-8.10104757637
910.8	-8.10665639104
910.9	-8.11303054621
911.0	-8.10486696578
911.1	-8.12811956243
911.2	-8.12303625933
911.3	-8.12085425298
911.4	-8.11933561371
911.5	-8.13156178128
911.6	-8.13583126289
911.7	-8.14894932862
911.8	-8.14029906477
911.9	-8.13325376975
912.0	-8.13282739475
912.1	-8.14064491086
912.2	-8.15843918374
