Frequency [MHz]	RF generator power [dBm]
907.8	-11.00968767
907.9	-11.0207670164
908.0	-10.9981662327
908.1	-11.012477606
908.2	-11.013392502
908.3	-10.9976289629
908.4	-11.0212589624
908.5	-11.0360784891
908.6	-11.0542129075
908.7	-11.0394978661
908.8	-11.0597973021
908.9	-11.0561528225
909.0	-11.0602632495
909.1	-11.033605499
909.2	-11.026145867
909.3	-11.0651983289
909.4	-11.0761161108
909.5	-11.0853775171
909.6	-11.0470695272
909.7	-11.0707052616
909.8	-11.0678384208
909.9	-11.0772959663
910.0	-11.0793036126
910.1	-11.0437347088
910.2	-11.0648877618
910.3	-11.0712600126
910.4	-11.0731714906
910.5	-11.0745068891
910.6	-11.0731790222
910.7	-11.0833128299
910.8	-11.0681237999
910.9	-11.0659036552
911.0	-11.0803030123
911.1	-11.0833957669
911.2	-11.0314689694
911.3	-11.0905443503
911.4	-11.0547417827
911.5	-11.0578253992
911.6	-11.0756387171
911.7	-11.0552616142
911.8	-11.0889149174
911.9	-11.1172878428
912.0	-11.0666196509
912.1	-11.0704010306
912.2	-11.1085311063
