Frequency [MHz]	RF generator power [dBm]
907.8	-3.24165166201
907.9	-3.26065583229
908.0	-3.26761088531
908.1	-3.27143394536
908.2	-3.26686449773
908.3	-3.2900684613
908.4	-3.29546710231
908.5	-3.31305979952
908.6	-3.30626516238
908.7	-3.32931704094
908.8	-3.32910207986
908.9	-3.31405507847
909.0	-3.35003136711
909.1	-3.33546705552
909.2	-3.36168090106
909.3	-3.34853306013
909.4	-3.3628310808
909.5	-3.37758219065
909.6	-3.37388237909
909.7	-3.37019997944
909.8	-3.36585541895
909.9	-3.38595939833
910.0	-3.41345950232
910.1	-3.39883804243
910.2	-3.39433128023
910.3	-3.40137575851
910.4	-3.40832512342
910.5	-3.40817350059
910.6	-3.39982983647
910.7	-3.41714961183
910.8	-3.41194700829
910.9	-3.40820437668
911.0	-3.42966748551
911.1	-3.42297861376
911.2	-3.4388554474
911.3	-3.41766818684
911.4	-3.41036181636
911.5	-3.45006659169
911.6	-3.42536188443
911.7	-3.44137267594
911.8	-3.42783297554
911.9	-3.44108435838
912.0	-3.4415389
912.1	-3.439645861
912.2	-3.47232669347
