Frequency [MHz]	RF generator power [dBm]
907.8	-4.64111343874
907.9	-4.60561306699
908.0	-4.61028113671
908.1	-4.62373693818
908.2	-4.65696445979
908.3	-4.61299274465
908.4	-4.64300771636
908.5	-4.67089945121
908.6	-4.62477338562
908.7	-4.65344673534
908.8	-4.67473819645
908.9	-4.66064444124
909.0	-4.63564559049
909.1	-4.65797718421
909.2	-4.67949689228
909.3	-4.66260605259
909.4	-4.65260165262
909.5	-4.67117019282
909.6	-4.70567111155
909.7	-4.66232102636
909.8	-4.66859687864
909.9	-4.64445768339
910.0	-4.69601644636
910.1	-4.63896114321
910.2	-4.62814886777
910.3	-4.6567654459
910.4	-4.64094467453
910.5	-4.64215684816
910.6	-4.61360936372
910.7	-4.63201644017
910.8	-4.64266265906
910.9	-4.62210556096
911.0	-4.66608916111
911.1	-4.61101963653
911.2	-4.58374524406
911.3	-4.61663427357
911.4	-4.58685558461
911.5	-4.5850977887
911.6	-4.60600257626
911.7	-4.58537022786
911.8	-4.61083690639
911.9	-4.598183786
912.0	-4.57936966466
912.1	-4.56710896659
912.2	-4.62715008166
