Frequency [MHz]	RF generator power [dBm]
907.8	-16.989352809
907.9	-16.9193801401
908.0	-16.9647833506
908.1	-17.018337748
908.2	-17.1179329345
908.3	-16.9769462686
908.4	-17.0981929438
908.5	-17.0007092893
908.6	-16.9734370782
908.7	-16.9814890517
908.8	-17.043896645
908.9	-17.0816390981
909.0	-17.0663750591
909.1	-16.8852903567
909.2	-17.1051724162
909.3	-17.0998564518
909.4	-17.0200138612
909.5	-17.1275596382
909.6	-17.0935704432
909.7	-17.0645998025
909.8	-17.1147302509
909.9	-16.9901692965
910.0	-17.1655479866
910.1	-17.0808874709
910.2	-17.0590699584
910.3	-17.083061286
910.4	-17.1093798784
910.5	-17.1125278984
910.6	-17.103756703
910.7	-17.0901589739
910.8	-17.1630400265
910.9	-17.1458471526
911.0	-17.066496723
911.1	-17.1635831623
911.2	-17.2255473064
911.3	-17.109465136
911.4	-17.2451315547
911.5	-17.1341148094
911.6	-17.15897769
911.7	-17.178083403
911.8	-17.1390943764
911.9	-17.1174001138
912.0	-17.1635512499
912.1	-17.1797179219
912.2	-17.1461454822
