Frequency [MHz]	RF generator power [dBm]
907.8	-8.96429630565
907.9	-8.96190151334
908.0	-8.95316016207
908.1	-8.94384095336
908.2	-8.95481357634
908.3	-8.98235555534
908.4	-8.94735594294
908.5	-8.96823057542
908.6	-8.98127295298
908.7	-8.96131847414
908.8	-9.00196748606
908.9	-8.96906738894
909.0	-8.97635808499
909.1	-8.98758439575
909.2	-8.95695762257
909.3	-8.99083689159
909.4	-8.99630744744
909.5	-9.00748350232
909.6	-9.01087127731
909.7	-8.98349711081
909.8	-9.00062350237
909.9	-8.97836732697
910.0	-8.9748213038
910.1	-8.97424984981
910.2	-8.97413933269
910.3	-9.00620284926
910.4	-8.98857476864
910.5	-9.00230303877
910.6	-9.00678911462
910.7	-8.99768845087
910.8	-9.02309637735
910.9	-8.97944440149
911.0	-8.97895606784
911.1	-8.99261077915
911.2	-8.9782419651
911.3	-8.98542594887
911.4	-8.98702823521
911.5	-9.0045404648
911.6	-9.01228936831
911.7	-9.00312177559
911.8	-8.99514978048
911.9	-9.02515931522
912.0	-9.00487284996
912.1	-9.01781346311
912.2	-9.01443777551
