Frequency [MHz]	RF generator power [dBm]
907.8	-16.9230708394
907.9	-16.8201908061
908.0	-16.8917493355
908.1	-16.8578169946
908.2	-16.8554810244
908.3	-16.928122827
908.4	-16.8581411707
908.5	-16.8475187206
908.6	-16.8605189196
908.7	-16.8640203495
908.8	-16.911618658
908.9	-16.8369933969
909.0	-16.8476557472
909.1	-16.8965405507
909.2	-16.8934613758
909.3	-16.8884243938
909.4	-16.8665892651
909.5	-16.8482511563
909.6	-16.9161481866
909.7	-16.8797625649
909.8	-16.9225586207
909.9	-16.8400390098
910.0	-16.8946059
910.1	-16.8405065473
910.2	-16.8364056263
910.3	-16.9170942583
910.4	-16.8764906789
910.5	-16.9291217546
910.6	-16.9309061546
910.7	-16.915968265
910.8	-16.9247703
910.9	-16.9420370033
911.0	-16.8958516686
911.1	-16.8907408638
911.2	-16.9642907296
911.3	-16.8408299071
911.4	-16.9178684178
911.5	-16.953685331
911.6	-16.9350289279
911.7	-16.9566334952
911.8	-16.9140082042
911.9	-16.8969173401
912.0	-16.9003409271
912.1	-16.9147649637
912.2	-16.9085216661
