Frequency [MHz]	RF generator power [dBm]
907.8	-7.47136133546
907.9	-7.47699583209
908.0	-7.47970817256
908.1	-7.48868979589
908.2	-7.48990788023
908.3	-7.49043547107
908.4	-7.52439156285
908.5	-7.5098405364
908.6	-7.49549881412
908.7	-7.52836316265
908.8	-7.51494026124
908.9	-7.53465275974
909.0	-7.53950407297
909.1	-7.51658039915
909.2	-7.54005040255
909.3	-7.55455425122
909.4	-7.55098510519
909.5	-7.55065497326
909.6	-7.56927379021
909.7	-7.56876504035
909.8	-7.57939689373
909.9	-7.55999263579
910.0	-7.58740885068
910.1	-7.5791969259
910.2	-7.57910765928
910.3	-7.59342852818
910.4	-7.57690101936
910.5	-7.60833893817
910.6	-7.60908493171
910.7	-7.60160183577
910.8	-7.61103607765
910.9	-7.61111666878
911.0	-7.60243298308
911.1	-7.62311858845
911.2	-7.62425847522
911.3	-7.62165861513
911.4	-7.62236993645
911.5	-7.63054685145
911.6	-7.63554935954
911.7	-7.64860690596
911.8	-7.64250745642
911.9	-7.63364365846
912.0	-7.63632503839
912.1	-7.64461540426
912.2	-7.66197522711
