Frequency [MHz]	RF generator power [dBm]
907.8	-9.906458184
907.9	-9.91565368358
908.0	-9.89646957551
908.1	-9.89814205469
908.2	-9.90394116178
908.3	-9.91284582372
908.4	-9.90343390798
908.5	-9.92378095622
908.6	-9.94177037674
908.7	-9.9209426938
908.8	-9.95257240293
908.9	-9.93395657479
909.0	-9.9395109446
909.1	-9.931910707
909.2	-9.90942631882
909.3	-9.95009683964
909.4	-9.95774050932
909.5	-9.96889827401
909.6	-9.95088819855
909.7	-9.94779276987
909.8	-9.95621265876
909.9	-9.95061307781
910.0	-9.94500731097
910.1	-9.93145772092
910.2	-9.94244957531
910.3	-9.96013364354
910.4	-9.95168765892
910.5	-9.96064945904
910.6	-9.96360171274
910.7	-9.96239545312
910.8	-9.96876067826
910.9	-9.94219772948
911.0	-9.94892642094
911.1	-9.96133203223
911.2	-9.92833775514
911.3	-9.96063843579
911.4	-9.94346265516
911.5	-9.95415952809
911.6	-9.96812135084
911.7	-9.95298892702
911.8	-9.96406566648
911.9	-9.99653823068
912.0	-9.96115121574
912.1	-9.97071069019
912.2	-9.98456389992
