Frequency [MHz]	RF generator power [dBm]
907.8	-5.60298704143
907.9	-5.60907234441
908.0	-5.61946239807
908.1	-5.62629295509
908.2	-5.62825611201
908.3	-5.62903585602
908.4	-5.65365422492
908.5	-5.66025037899
908.6	-5.63580917242
908.7	-5.66444381799
908.8	-5.66608097236
908.9	-5.67478310494
909.0	-5.68948195969
909.1	-5.67082707374
909.2	-5.69588247076
909.3	-5.69724078602
909.4	-5.6876357614
909.5	-5.69470452109
909.6	-5.70545704638
909.7	-5.71201594401
909.8	-5.71771491139
909.9	-5.70527764909
910.0	-5.73828706101
910.1	-5.72363607461
910.2	-5.71845401838
910.3	-5.73232368971
910.4	-5.71783175673
910.5	-5.73853208584
910.6	-5.72467276272
910.7	-5.73543358785
910.8	-5.74712388054
910.9	-5.73509223053
911.0	-5.73334901893
911.1	-5.73943282991
911.2	-5.75770503268
911.3	-5.74925558173
911.4	-5.75246965664
911.5	-5.76054566886
911.6	-5.75818946105
911.7	-5.77237579861
911.8	-5.77011274239
911.9	-5.76357771045
912.0	-5.76974231474
912.1	-5.77851350496
912.2	-5.79583171658
