Frequency [MHz]	RF generator power [dBm]
907.8	-6.99041961695
907.9	-6.99652887271
908.0	-7.0017618174
908.1	-7.01013860501
908.2	-7.01207481818
908.3	-7.01054785671
908.4	-7.04366630199
908.5	-7.03534743475
908.6	-7.01548079901
908.7	-7.04726716958
908.8	-7.03917188922
908.9	-7.05902764679
909.0	-7.06373085514
909.1	-7.04101527502
909.2	-7.0652873386
909.3	-7.07760565966
909.4	-7.07027600136
909.5	-7.07068289393
909.6	-7.08860359294
909.7	-7.09211339663
909.8	-7.10234228717
909.9	-7.08131590255
910.0	-7.11066097186
910.1	-7.10072625357
910.2	-7.09880219773
910.3	-7.11391127229
910.4	-7.09637968094
910.5	-7.12594632521
910.6	-7.12264442574
910.7	-7.11896360097
910.8	-7.13111119348
910.9	-7.12593832256
911.0	-7.11760877622
911.1	-7.13508252568
911.2	-7.14211179525
911.3	-7.1385576904
911.4	-7.14103071462
911.5	-7.1464180241
911.6	-7.15122306503
911.7	-7.16442141428
911.8	-7.16036028915
911.9	-7.15057511937
912.0	-7.15548914757
912.1	-7.16421622563
912.2	-7.18108898286
