Frequency [MHz]	RF generator power [dBm]
907.8	-8.48442997284
907.9	-8.48728019307
908.0	-8.48507933367
908.1	-8.49530393323
908.2	-8.4949642993
908.3	-8.50255453814
908.4	-8.53523660159
908.5	-8.50725457841
908.6	-8.50885640017
908.7	-8.54301504915
908.8	-8.51811114675
908.9	-8.53114198672
909.0	-8.54178364611
909.1	-8.5200952122
909.2	-8.54200761429
909.3	-8.5578846476
909.4	-8.56386706259
909.5	-8.56552140201
909.6	-8.58294328176
909.7	-8.57032610328
909.8	-8.5805229852
909.9	-8.56999179827
910.0	-8.59382628327
910.1	-8.58825349485
910.2	-8.59263131061
910.3	-8.60369758754
910.4	-8.59181236685
910.5	-8.62484984546
910.6	-8.63290871701
910.7	-8.62089550595
910.8	-8.62198669939
910.9	-8.63519400947
911.0	-8.62830847908
911.1	-8.65329869096
911.2	-8.6423287349
911.3	-8.63985950413
911.4	-8.63595649686
911.5	-8.65285861828
911.6	-8.65572316839
911.7	-8.66917948822
911.8	-8.65764993005
911.9	-8.65316443617
912.0	-8.64890009534
912.1	-8.65630284363
912.2	-8.67422498009
