Frequency [MHz]	RF generator power [dBm]
907.8	-10.1926812979
907.9	-10.1855142958
908.0	-10.180907629
908.1	-10.1927439961
908.2	-10.1939953684
908.3	-10.2117434198
908.4	-10.2387326964
908.5	-10.1914680601
908.6	-10.2214508246
908.7	-10.2518907788
908.8	-10.2176114039
908.9	-10.2090807703
909.0	-10.2371692527
909.1	-10.217573441
909.2	-10.2426465023
909.3	-10.2533635717
909.4	-10.2682627901
909.5	-10.2832706713
909.6	-10.2945460973
909.7	-10.2583826687
909.8	-10.2681692085
909.9	-10.2749321534
910.0	-10.2993245727
910.1	-10.2924531627
910.2	-10.3036681972
910.3	-10.3077027133
910.4	-10.3071181029
910.5	-10.3360680538
910.6	-10.3500399705
910.7	-10.3398382298
910.8	-10.329339509
910.9	-10.359479179
911.0	-10.3587608294
911.1	-10.3829282089
911.2	-10.3645265626
911.3	-10.354814232
911.4	-10.3473594638
911.5	-10.3734070666
911.6	-10.3718702581
911.7	-10.3887301744
911.8	-10.3687817613
911.9	-10.3739877665
912.0	-10.3565990128
912.1	-10.3638893143
912.2	-10.3777311979
