Frequency [MHz]	RF generator power [dBm]
907.8	-12.2391780685
907.9	-12.2149426504
908.0	-12.2215575842
908.1	-12.2355066102
908.2	-12.2522301844
908.3	-12.2598713643
908.4	-12.2885703535
908.5	-12.2277390217
908.6	-12.272226038
908.7	-12.2874489223
908.8	-12.271527174
908.9	-12.2440983369
909.0	-12.2842751777
909.1	-12.2532388485
909.2	-12.3027657398
909.3	-12.3034237339
909.4	-12.3013436149
909.5	-12.3427828971
909.6	-12.3472866298
909.7	-12.2936851476
909.8	-12.310819348
909.9	-12.3140637616
910.0	-12.3580086763
910.1	-12.3375865418
910.2	-12.3508605419
910.3	-12.3510791312
910.4	-12.3622182024
910.5	-12.3788244967
910.6	-12.3895325382
910.7	-12.3876972629
910.8	-12.38467632
910.9	-12.4102771706
911.0	-12.4106489584
911.1	-12.4279303741
911.2	-12.4341985222
911.3	-12.4021991488
911.4	-12.4099067508
911.5	-12.4161541037
911.6	-12.4195073566
911.7	-12.4437896535
911.8	-12.4199763822
911.9	-12.4305224061
912.0	-12.4074972556
912.1	-12.4173796049
912.2	-12.4159262288
