Frequency [MHz]	RF generator power [dBm]
907.8	-9.02450405547
907.9	-9.024835362
908.0	-9.02083630497
908.1	-9.03164568098
908.2	-9.03097978761
908.3	-9.04267047995
908.4	-9.07361200475
908.5	-9.03885620979
908.6	-9.04997924281
908.7	-9.08390255496
908.8	-9.05407452874
908.9	-9.06098551041
909.0	-9.07676461905
909.1	-9.05612394488
909.2	-9.07789506207
909.3	-9.09293178553
909.4	-9.10340191681
909.5	-9.10804830482
909.6	-9.12381046055
909.7	-9.10364094019
909.8	-9.11338973168
909.9	-9.10896414422
910.0	-9.13178475112
910.1	-9.12671348704
910.2	-9.13350916195
910.3	-9.14233227195
910.4	-9.13381612785
910.5	-9.16641902719
910.6	-9.17730031247
910.7	-9.16477454193
910.8	-9.16121116199
910.9	-9.18115914879
911.0	-9.17612691097
911.1	-9.20188216362
911.2	-9.18614960022
911.3	-9.18248740317
911.4	-9.17645232383
911.5	-9.19785908181
911.6	-9.19899664446
911.7	-9.21314609641
911.8	-9.19862112532
911.9	-9.19722159625
912.0	-9.18862063342
912.1	-9.19575111805
912.2	-9.21323034328
