Frequency [MHz]	RF generator power [dBm]
907.8	-2.19477351261
907.9	-2.23165020004
908.0	-2.23531418038
908.1	-2.23626990636
908.2	-2.23051286178
908.3	-2.25792320279
908.4	-2.26416476821
908.5	-2.28418676375
908.6	-2.27880247037
908.7	-2.29556372134
908.8	-2.29900824649
908.9	-2.29346498598
909.0	-2.31970117992
909.1	-2.2964128196
909.2	-2.32925975072
909.3	-2.32151300307
909.4	-2.34381152046
909.5	-2.35207858778
909.6	-2.35198700927
909.7	-2.35081105488
909.8	-2.34915201253
909.9	-2.36601715657
910.0	-2.38875512127
910.1	-2.37760585115
910.2	-2.37341741918
910.3	-2.3815960554
910.4	-2.39837014916
910.5	-2.38929404081
910.6	-2.3976620103
910.7	-2.39812936181
910.8	-2.39460666144
910.9	-2.38694526817
911.0	-2.41676672247
911.1	-2.41045117083
911.2	-2.42938363606
911.3	-2.40053882685
911.4	-2.39140387381
911.5	-2.43726938318
911.6	-2.41117627563
911.7	-2.42837667723
911.8	-2.40875987227
911.9	-2.42911052072
912.0	-2.43249737987
912.1	-2.42048746328
912.2	-2.46487433481
