Frequency [MHz]	RF generator power [dBm]
907.8	-7.77448093319
907.9	-7.74616960991
908.0	-7.75699022988
908.1	-7.74189766636
908.2	-7.76021152492
908.3	-7.79057256015
908.4	-7.74767424323
908.5	-7.76185630137
908.6	-7.7586243595
908.7	-7.75326352715
908.8	-7.7973701659
908.9	-7.75510793884
909.0	-7.76208932454
909.1	-7.79046601058
909.2	-7.76485436287
909.3	-7.77664195153
909.4	-7.7828781298
909.5	-7.7914581032
909.6	-7.81736977499
909.7	-7.76939192312
909.8	-7.78929845695
909.9	-7.74978844627
910.0	-7.76590918189
910.1	-7.76260766741
910.2	-7.7475137105
910.3	-7.7980170029
910.4	-7.77417695232
910.5	-7.78540141579
910.6	-7.78467577096
910.7	-7.77588801428
910.8	-7.81589198479
910.9	-7.76612560374
911.0	-7.76304015908
911.1	-7.76163701395
911.2	-7.76024108497
911.3	-7.75288239662
911.4	-7.76803699277
911.5	-7.78937759557
911.6	-7.78859076341
911.7	-7.78464090385
911.8	-7.76736773854
911.9	-7.78326194166
912.0	-7.77802821779
912.1	-7.78724529348
912.2	-7.78300669943
