Frequency [MHz]	RF generator power [dBm]
907.8	-13.0251143235
907.9	-12.9937992457
908.0	-13.0080398156
908.1	-13.0237562217
908.2	-13.0507468505
908.3	-13.0453331204
908.4	-13.079989302
908.5	-13.0159473514
908.6	-13.0575485382
908.7	-13.0654898677
908.8	-13.0643126533
908.9	-13.0362147567
909.0	-13.0749755095
909.1	-13.0323991104
909.2	-13.0991194179
909.3	-13.0966275019
909.4	-13.0803954485
909.5	-13.1332584246
909.6	-13.1355967424
909.7	-13.0805648006
909.8	-13.1031803758
909.9	-13.0946388138
910.0	-13.1524422514
910.1	-13.12360389
910.2	-13.1350616846
910.3	-13.1362378299
910.4	-13.150502953
910.5	-13.161748432
910.6	-13.1692417957
910.7	-13.1697658751
910.8	-13.1768390962
910.9	-13.193603004
911.0	-13.1900394242
911.1	-13.2067850706
911.2	-13.2299301916
911.3	-13.1859142451
911.4	-13.206569639
911.5	-13.1955563477
911.6	-13.2041631078
911.7	-13.2312484442
911.8	-13.2074274623
911.9	-13.2167426169
912.0	-13.1967534656
912.1	-13.208103933
912.2	-13.1988106974
