Frequency [MHz]	RF generator power [dBm]
907.8	-13.8777208454
907.9	-13.8386155019
908.0	-13.8620574713
908.1	-13.8810239986
908.2	-13.921467591
908.3	-13.8959571519
908.4	-13.9411759158
908.5	-13.8737975178
908.6	-13.9070362949
908.7	-13.9078494683
908.8	-13.9251592405
908.9	-13.9015806999
909.0	-13.9345712985
909.1	-13.8739267656
909.2	-13.9644953871
909.3	-13.9595373657
909.4	-13.9253285162
909.5	-13.990692072
909.6	-13.9901735937
909.7	-13.9368974481
909.8	-13.966546307
909.9	-13.9390523229
910.0	-14.015815465
910.1	-13.9762838799
910.2	-13.9839549302
910.3	-13.9877861149
910.4	-14.004686998
910.5	-14.0106600585
910.6	-14.0141121813
910.7	-14.0156704222
910.8	-14.0370475235
910.9	-14.041832496
911.0	-14.0303419451
911.1	-14.0503079437
911.2	-14.0928860502
911.3	-14.0342527323
911.4	-14.0733372834
911.5	-14.0394307404
911.6	-14.054798841
911.7	-14.0841128272
911.8	-14.0603522603
911.9	-14.0661401396
912.0	-14.0532572023
912.1	-14.0662430856
912.2	-14.0483110672
